Tabelle: 61241-0002
Producer price index for industrial products: Germany,;;;;
months;;;;
Index of producer prices of industrial products;;;;;;;
Germany;;;;;;;
;;Producer price index for industrial products;Producer price index for industrial products;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
1987;June;60.9;e;0.2;e;-2.9;e
1987;July;61.1;e;0.3;e;-2.1;e
1987;August;61.1;e;-;;-1.8;e
1987;September;61.1;e;-;;-1.8;e
1987;October;61.2;e;0.2;e;-0.3;e
1987;November;61.2;e;-;;-;
1987;December;61.2;e;-;;0.2;e
1988;January;61.2;e;-;;0.2;e
1988;February;61.2;e;-;;0.5;e
1988;March;61.2;e;-;;0.5;e
1988;April;61.5;e;0.5;e;1.3;e
1988;May;61.7;e;0.3;e;1.5;e
1988;June;61.8;e;0.2;e;1.5;e
1988;July;61.8;e;-;;1.1;e
1988;August;61.9;e;0.2;e;1.3;e
1988;September;62.0;e;0.2;e;1.5;e
1988;October;62.1;e;0.2;e;1.5;e
1988;November;62.1;e;-;;1.5;e
1988;December;62.3;e;0.3;e;1.8;e
1989;January;63.0;e;1.1;e;2.9;e
1989;February;63.1;e;0.2;e;3.1;e
1989;March;63.3;e;0.3;e;3.4;e
1989;April;63.7;e;0.6;e;3.6;e
1989;May;63.8;e;0.2;e;3.4;e
1989;June;63.7;e;-0.2;e;3.1;e
1989;July;63.8;e;0.2;e;3.2;e
1989;August;63.9;e;0.2;e;3.2;e
1989;September;63.9;e;-;;3.1;e
1989;October;64.2;e;0.5;e;3.4;e
1989;November;64.1;e;-0.2;e;3.2;e
1989;December;64.1;e;-;;2.9;e
1990;January;64.2;e;0.2;e;1.9;e
1990;February;64.2;e;-;;1.7;e
1990;March;64.3;e;0.2;e;1.6;e
1990;April;64.7;e;0.6;e;1.6;e
1990;May;64.7;e;-;;1.4;e
1990;June;64.7;e;-;;1.6;e
1990;July;64.7;e;-;;1.4;e
1990;August;64.9;e;0.3;e;1.6;e
1990;September;65.3;e;0.6;e;2.2;e
1990;October;65.5;e;0.3;e;2.0;e
1990;November;65.4;e;-0.2;e;2.0;e
1990;December;65.1;e;-0.5;e;1.6;e
1991;January;65.7;e;0.9;e;2.3;e
1991;February;65.7;e;-;;2.3;e
1991;March;65.6;e;-0.2;e;2.0;e
1991;April;66.2;e;0.9;e;2.3;e
1991;May;66.2;e;-;;2.3;e
1991;June;66.3;e;0.2;e;2.5;e
1991;July;66.7;e;0.6;e;3.1;e
1991;August;66.7;e;-;;2.8;e
1991;September;66.9;e;0.3;e;2.5;e
1991;October;66.9;e;-;;2.1;e
1991;November;66.9;e;-;;2.3;e
1991;December;66.7;e;-0.3;e;2.5;e
1992;January;66.7;e;-;;1.5;e
1992;February;66.9;e;0.3;e;1.8;e
1992;March;67.1;e;0.3;e;2.3;e
1992;April;67.4;e;0.4;e;1.8;e
