observation_date,IRSTCI01DEM156N
2006-07-01,2.8138000000
2006-08-01,2.9683000000
2006-09-01,3.0410000000
2006-10-01,3.2782000000
2006-11-01,3.3277000000
2006-12-01,3.5011000000
2007-01-01,3.5632000000
2007-02-01,3.5695000000
2007-03-01,3.6909000000
2007-04-01,3.8195000000
2007-05-01,3.7905000000
2007-06-01,3.9557000000
2007-07-01,4.0632000000
2007-08-01,4.0474000000
2007-09-01,4.0286000000
2007-10-01,3.9414000000
2007-11-01,4.0221000000
2007-12-01,3.8791000000
2008-01-01,4.0218000000
2008-02-01,4.0279000000
2008-03-01,4.0910000000
2008-04-01,3.9868000000
2008-05-01,4.0097000000
2008-06-01,4.0067000000
2008-07-01,4.1908000000
2008-08-01,4.2989000000
2008-09-01,4.2733000000
2008-10-01,3.8198000000
2008-11-01,3.1502000000
2008-12-01,2.4864000000
2009-01-01,1.8122000000
2009-02-01,1.2571000000
2009-03-01,1.0620000000
2009-04-01,0.8419000000
2009-05-01,0.7821000000
2009-06-01,0.6980000000
2009-07-01,0.3576000000
2009-08-01,0.3475000000
2009-09-01,0.3632000000
2009-10-01,0.3587000000
2009-11-01,0.3624000000
2009-12-01,0.3546000000
2010-01-01,0.3440000000
2010-02-01,0.3406000000
2010-03-01,0.3477000000
2010-04-01,0.3533000000
2010-05-01,0.3439000000
2010-06-01,0.3543000000
2010-07-01,0.4811000000
2010-08-01,0.4256000000
2010-09-01,0.4536000000
2010-10-01,0.7013000000
2010-11-01,0.5926000000
2010-12-01,0.4981000000
2011-01-01,0.6590000000
2011-02-01,0.7071000000
2011-03-01,0.6587000000
2011-04-01,0.9661000000
2011-05-01,1.0334000000
2011-06-01,1.1240000000
2011-07-01,1.0118000000
2011-08-01,0.9058000000
2011-09-01,1.0055000000
2011-10-01,0.9596000000
2011-11-01,0.7900000000
2011-12-01,0.6270000000
2012-01-01,0.3800000000
2012-02-01,0.3656000000
2012-03-01,0.3567000000
2012-04-01,0.3451000000
2012-05-01,0.3370000000
2012-06-01,0.3320000000
2012-07-01,0.1842000000
2012-08-01,0.1101000000
2012-09-01,0.0993000000
2012-10-01,0.0907000000
2012-11-01,0.0785000000
2012-12-01,0.0734000000
2013-01-01,0.0690000000
2013-02-01,0.0677000000
2013-03-01,0.0670000000
2013-04-01,0.0810000000
2013-05-01,0.0787000000
2013-06-01,0.0862000000
2013-07-01,0.0931000000
2013-08-01,0.0820000000
2013-09-01,0.0803000000
2013-10-01,0.0933000000
2013-11-01,0.1031000000
2013-12-01,0.1686000000
2014-01-01,0.1961000000
2014-02-01,0.1567000000
2014-03-01,0.1919000000
2014-04-01,0.2539000000
2014-05-01,0.2480000000
2014-06-01,0.0758000000
2014-07-01,0.0433000000
2014-08-01,0.0179000000
2014-09-01,0.0066000000
2014-10-01,-0.0045000000
2014-11-01,-0.0116000000
2014-12-01,-0.0301000000
2015-01-01,-0.0506000000
2015-02-01,-0.0360000000
2015-03-01,-0.0504000000
2015-04-01,-0.0745000000
2015-05-01,-0.1058000000
2015-06-01,-0.1185000000
2015-07-01,-0.1177000000
2015-08-01,-0.1213000000
2015-09-01,-0.1357000000
2015-10-01,-0.1389000000
2015-11-01,-0.1347000000
2015-12-01,-0.1990000000
2016-01-01,-0.2387000000
2016-02-01,-0.2404000000
2016-03-01,-0.2877000000
2016-04-01,-0.3378000000
2016-05-01,-0.3380000000
2016-06-01,-0.3325000000
2016-07-01,-0.3288000000
2016-08-01,-0.3388000000
2016-09-01,-0.3430000000
2016-10-01,-0.3466000000
2016-11-01,-0.3487000000
2016-12-01,-0.3504000000
2017-01-01,-0.3515000000
2017-02-01,-0.3528000000
2017-03-01,-0.3535000000
2017-04-01,-0.3569000000
2017-05-01,-0.3589000000
2017-06-01,-0.3587000000
2017-07-01,-0.3595000000
2017-08-01,-0.3558000000
2017-09-01,-0.3581000000
2017-10-01,-0.3590000000
2017-11-01,-0.3492000000
2017-12-01,-0.3423000000
2018-01-01,-0.3624000000
2018-02-01,-0.3647000000
2018-03-01,-0.3639000000
2018-04-01,-0.3657000000
2018-05-01,-0.3625000000
2018-06-01,-0.3618000000
2018-07-01,-0.3636000000
2018-08-01,-0.3591000000
2018-09-01,-0.3627000000
2018-10-01,-0.3660000000
2018-11-01,-0.3613000000
