date,world_oil_price,world_prod,world_inv,world_ip,ip_de,import_price_de,ppi_de,cpi_de
1991-01,-174.30753664682794,1101.3662073566004,764.3200698958664,414.9920854797607,440.0603020246817,436.8181227851829,418.50989254905653,410.2643365036796
1991-02,-193.13285518635695,1100.8525320195101,764.5889377000688,414.28764390699797,437.9523504455763,436.05476029967576,418.50989254905653,410.75897889721216
1991-03,-195.51515324580657,1101.2745309931033,765.8668687710355,413.88941605865676,437.9523504455763,436.4371699435161,418.35756959500435,410.75897889721216
1991-04,-195.2147175510861,1098.9392443131776,763.551381765664,414.61364073125947,437.07128747736084,437.57570216602863,419.26804629429625,411.0873864173311
1991-05,-195.53200654866862,1098.6397874694437,763.2103125667907,415.06421890244985,435.9269647551265,437.44983682530903,419.26804629429625,411.25118661775497
1991-06,-201.28830033279723,1098.9655733472666,763.2083578465473,415.22127611420484,438.9498649512583,437.8269585796169,419.41898971918164,411.90371748124727
1991-07,-194.88513276461293,1100.6285734781584,763.7888350868909,415.35050538993863,436.94478524670217,437.8269585796169,420.0204952921578,413.03549997451336
1991-08,-193.28913099541643,1099.4650664854737,764.1835669406047,415.3055353833262,435.1567427189173,437.19762988203803,420.0204952921578,413.03549997451336
1991-09,-189.95560396837624,1101.1958748736508,765.0733313173514,415.60202393294895,434.63994570307307,436.56431554233575,420.3198967134183,413.03549997451336
1991-10,-182.0897077385448,1101.1221611073756,764.4772612058226,415.88304257232835,436.69129968638333,436.69129968638333,420.3198967134183,414.6304301152812
1991-11,-187.6056496719329,1101.527631559087,764.7507475246497,415.9154452785658,437.8269585796169,436.4371699435161,420.3198967134183,414.94638614431796
1991-12,-201.5807916088583,1102.1972890857305,763.6060850903235,415.1137066532729,437.57570216602863,435.02779363593015,420.0204952921578,415.10399058986457
1992-01,-203.02038654975655,1102.3085265452257,764.537250914545,415.53999931877314,439.0738575275903,435.02779363593015,420.0204952921578,415.7319361383489
1992-02,-203.84464019769126,1100.9325506429238,765.3837711126769,416.23022314053276,440.5498990859024,435.28552573736016,420.3198967134183,416.3559631243574
1992-03,-206.55911025196178,1099.8521446379486,764.4594543771963,416.1391964733127,438.45235148724686,435.5425952876702,420.6184043977636,416.66652238017264
1992-04,-199.7127934702691,1100.4525729689292,764.6554991233771,416.3452938149269,437.9523504455763,435.5425952876702,421.0645017918261,416.9761201506855
1992-05,-194.9280173397035,1098.558742522157,764.4865058722208,416.0489448713722,437.07128747736084,435.5425952876702,421.2127597878484,417.28476237100443
1992-06,-189.0243846352863,1098.9688977387748,763.7000686026706,416.18737630655954,435.9269647551265,435.02779363593015,421.36079830489183,417.5924549214524
1992-07,-193.75466443545355,1099.7504800154813,763.7227235476703,416.6547852572909,434.5103280569283,434.12046401536264,421.2127597878484,417.8992036282385
1992-08,-196.46934097186062,1099.7282925135848,764.3672205659668,415.99832591942373,434.89867805956817,433.3361462692601,421.0645017918261,417.8992036282385
1992-09,-194.032689839486,1100.1654408680565,764.2164393372487,416.5361894216435,433.8597076746545,432.9416684401584,421.0645017918261,417.8992036282385
1992-10,-194.50636478760975,1101.4871106968283,764.5713387910213,416.70580148662697,434.12046401536264,432.9416684401584,420.9160236650682,417.8992036282385
1992-11,-200.11000583225893,1101.0103393825314,763.9761106529276,416.6439306811537,432.5456283185487,433.3361462692601,420.9160236650682,418.35756959500435
1992-12,-205.98180604088157,1101.5392928651022,765.2243938060514,416.06961263035805,431.88205587700895,433.0733340286331,420.6184043977636,418.50989254905653
1993-01,-210.55497215392927,1101.2350786934232,765.8569657207487,416.84145455590186,430.8110951723713,433.20482648676403,421.0645017918261,420.17030805426003
1993-02,-204.7395892351256,1101.8194950546822,765.3617187837211,417.5486665338938,429.592393562047,433.3361462692601,420.9160236650682,420.9160236650682
1993-03,-203.16155214087524,1100.6400247853041,765.9097615559845,417.4616166773671,429.4560608892605,433.3361462692601,420.9160236650682,421.2127597878484
